Command term	Definition
Analyse	Break down in order to bring out the essential elements or structure. (To identify parts and relationships, and to interpret information to reach conclusions.)
Demonstrate	Make clear by reasoning or evidence, illustrating with examples or practical application.
Describe	Give a detailed account or picture of a situation, event, pattern or process.
Discuss	Offer a considered and balanced review that includes a range of arguments, factors or hypotheses. Opinions or conclusions should be presented clearly and supported by appropriate evidence.
Document	Credit sources of information used by referencing (or citing) following a recognized referencing system. References should be included in the text and also at the end of the piece of work in a reference list or bibliography.
Evaluat	Make an appraisal by weighing up the strengths and limitations.
Explain	Give a detailed account including reasons or causes.
Explore	Undertake a systematic process of discovery.
Formulate	Express precisely and systematically the relevant concept(s) or argument(s).
Identify	Provide an answer from a number of possibilities. Recognize and state briefly a distinguishing fact or feature.
Interpret	Use knowledge and understanding to recognize trends and draw conclusions from given information.
Investigate	Observe, study or make a detailed and systematic examination, in order to establish facts and reach new conclusions.
Justify	Give valid reasons or evidence to support an answer or conclusion (see also "Explain").
List	Give a sequence of brief answers with no explanation.
Summarize	Abstract a general theme or major point(s).
Synthesize	Combine different ideas in order to create new understanding.
Use	Apply knowledge or rules to put theory into practice.
