Command term	Definition
Analyse	Break down in order to bring out the essential elements or structure (to identify parts and relationships, and interpret information to reach conclusions).
Comment	Give a judgment based on a given statement or result of a calculation.
Compare and contrast	Give an account of the similarities and differences between two (or more) items or situations, referring to both (all) of them throughout. In language and literature, this may involve finding and evaluating the significance of similarities and connections between texts and requires the student to make a literary analysis.
Create	Evolve from one’s own thought or imagination, as a work or an invention.
Critique	Provide a critical review or commentary, especially when dealing with works of art or literature. (See also "Evaluate".)
Discuss	Offer a considered and balanced review that includes a range of arguments, factors or hypotheses. Opinions or conclusions should be presented clearly and supported by appropriate evidence.
Evaluate	Make an appraisal by weighing up the strengths and limitations (See also "Critique".)
Examine	Consider an argument or concept in a way that uncovers the assumptions and interrelationships of the issue.
Explore	Undertake a systematic process of discovery.
Identify	Provide an answer from a number of possibilities. Recognize and state briefly a distinguishing fact or feature.
Interpret	Use knowledge and understanding to recognize trends and draw conclusions from given information.
Justify	Give valid reasons or evidence to support an answer or conclusion.
Organize	Put ideas and information into a proper or systematic order; give structure to a text.
Outline	Give a brief account or summary.
Select	Choose from a list or group.
Summarize	Abstract a general theme or major point(s).
Synthesize	Combine different ideas in order to create new understanding.
Use	Apply knowledge or rules to put theory into practice.
