Command term	Definition
Analyse	Break down in order to bring out the essential elements or structure. (To identify parts and relationships, and to interpret information to reach conclusions.)
Apply	Use knowledge and understanding in response to a given situation or real circumstances. Use an idea, equation, principle, theory or law in relation to a given problem or issue.
Construct	Display information in a diagrammatic or logical form.
Define	Give the precise meaning of a word, phrase, concept or physical quantity.
Demonstrate	Make clear by reasoning or evidence, illustrating with examples or practical application.
Describe	Give a detailed account or picture of a situation, event, pattern or process.
Design	Produce a plan, simulation or model.
Develop	Improve incrementally, elaborate or expand in detail. Evolve to a more advanced or effective state.
Evaluate	Make an appraisal by weighing up the strengths and limitations.
Explain	Give a detailed account including reasons or causes. (See also “Justify”.)
Identify	Provide an answer from a number of possibilities. Recognize and state briefly a distinguishing fact or feature.
Investigate	Observe, study, or make a detailed and systematic examination, in order to establish facts and reach new conclusions.
Justify	Give valid reasons or evidence to support an answer or conclusion. (See also “Explain”.)
List	Give a sequence of brief answers with no explanation.
Outline	Give a brief account or summary.
Recall	Remember or recognize from prior learning experiences.
Solve	Obtain the answer(s) using appropriate methods.
State	Give a specific name, value or other brief answer without explanation or calculation.
Suggest	Propose a solution, hypothesis or other possible answer.
Summarize	Abstract a general theme or major point(s).
